Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Pune,Apple,Other,FAQ,4000,12000,8000,28 Nov 2023
2,Pune,Pune,Apple,Other,FAQ,3000,11000,7000,27 Nov 2023
3,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,26 Nov 2023
4,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,24 Nov 2023
5,Pune,Pune,Apple,Other,FAQ,3000,11000,7000,23 Nov 2023
6,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,22 Nov 2023
7,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,21 Nov 2023
8,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,20 Nov 2023
9,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,19 Nov 2023
10,Pune,Pune,Apple,Other,FAQ,3000,13000,7500,17 Nov 2023
11,Pune,Pune,Apple,Other,FAQ,3000,13000,8000,16 Nov 2023
12,Pune,Pune,Apple,Other,FAQ,3000,11000,7000,14 Nov 2023
13,Pune,Pune,Apple,Other,FAQ,3000,12000,7500,13 Nov 2023
14,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,12 Nov 2023
15,Pune,Pune,Apple,Other,FAQ,3000,13000,8000,10 Nov 2023
16,Pune,Pune,Apple,Other,FAQ,3000,12000,7500,09 Nov 2023
17,Pune,Pune,Apple,Other,FAQ,4000,13000,8500,08 Nov 2023
18,Pune,Pune,Apple,Other,FAQ,4000,12000,8000,07 Nov 2023
19,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,06 Nov 2023
20,Pune,Pune,Apple,Other,FAQ,3000,11000,7000,03 Nov 2023
21,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,02 Nov 2023
22,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,31 Oct 2023
23,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,30 Oct 2023
24,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,29 Oct 2023
25,Pune,Pune,Apple,Other,FAQ,3000,12000,7500,27 Oct 2023
26,Pune,Pune,Apple,Other,FAQ,3000,13000,8000,26 Oct 2023
27,Pune,Pune,Apple,Other,FAQ,3000,14000,8500,24 Oct 2023
28,Pune,Pune,Apple,Other,FAQ,3000,13000,8000,23 Oct 2023
29,Pune,Pune,Apple,Other,FAQ,3000,12000,7500,22 Oct 2023
30,Pune,Pune,Apple,Other,FAQ,3000,14000,8500,20 Oct 2023
31,Pune,Pune,Apple,Other,FAQ,3000,14000,8500,19 Oct 2023
32,Pune,Pune,Apple,Other,FAQ,3000,13000,8000,18 Oct 2023
33,Pune,Pune,Apple,Other,FAQ,3000,11000,7000,17 Oct 2023
34,Pune,Pune,Apple,Other,FAQ,3000,14000,8500,16 Oct 2023
35,Pune,Pune,Apple,Other,FAQ,3000,12000,7500,15 Oct 2023
36,Pune,Pune,Apple,Other,FAQ,3000,14000,8500,13 Oct 2023
37,Pune,Pune,Apple,Other,FAQ,3000,11000,7000,12 Oct 2023
38,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,11 Oct 2023
39,Pune,Pune,Apple,Other,FAQ,4000,10000,7000,10 Oct 2023
40,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,09 Oct 2023
41,Pune,Pune,Apple,Other,FAQ,3000,11000,7000,08 Oct 2023
42,Pune,Pune,Apple,Other,FAQ,3000,11000,7000,06 Oct 2023
43,Pune,Pune,Apple,Other,FAQ,3000,12000,7500,05 Oct 2023
44,Pune,Pune,Apple,Other,FAQ,3000,12000,7500,04 Oct 2023
45,Pune,Pune,Apple,Other,FAQ,3000,12000,7500,03 Oct 2023
46,Pune,Pune,Apple,Other,FAQ,3000,11000,7000,02 Oct 2023
47,Pune,Pune,Apple,Other,FAQ,3000,12000,7500,01 Oct 2023
48,Pune,Pune,Apple,Other,FAQ,3000,12000,7500,28 Sep 2023
49,Pune,Pune,Apple,Other,FAQ,3000,11000,7000,27 Sep 2023
50,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,26 Sep 2023
51,Pune,Pune,Apple,Other,FAQ,3000,10000,6500,25 Sep 2023
52,Pune,Pune,Apple,Other,FAQ,3000,11000,7000,24 Sep 2023
53,Pune,Pune,Apple,Other,FAQ,3000,11000,7000,22 Sep 2023
54,Pune,Pune,Apple,Other,FAQ,3000,12000,7500,21 Sep 2023
55,Pune,Pune,Apple,Other,FAQ,3000,12000,7500,20 Sep 2023
