Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3600,3450,30 Dec 2023
2,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3400,3700,3550,29 Dec 2023
3,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3500,3800,3650,28 Dec 2023
4,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3400,3700,3550,27 Dec 2023
5,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3500,3700,3600,26 Dec 2023
6,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3400,3600,3500,25 Dec 2023
7,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3600,3450,23 Dec 2023
8,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3600,3450,22 Dec 2023
9,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3500,3800,3650,21 Dec 2023
10,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3400,3700,3550,20 Dec 2023
11,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3500,3700,3600,19 Dec 2023
12,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3400,3700,3550,18 Dec 2023
13,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3400,3600,3500,16 Dec 2023
14,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3500,3400,15 Dec 2023
15,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3400,3600,3500,13 Dec 2023
16,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3600,3450,12 Dec 2023
17,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3400,3700,3550,11 Dec 2023
18,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3600,3450,09 Dec 2023
19,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3500,3700,3600,08 Dec 2023
20,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3400,3600,3500,07 Dec 2023
21,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3400,3700,3550,06 Dec 2023
22,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3500,3400,05 Dec 2023
23,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3600,3450,04 Dec 2023
24,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3400,3700,3550,30 Nov 2023
25,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3500,3800,3650,29 Nov 2023
26,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3500,3800,3650,28 Nov 2023
27,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3600,3450,27 Nov 2023
28,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3700,3500,25 Nov 2023
29,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3600,3450,24 Nov 2023
30,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3500,3700,3600,23 Nov 2023
31,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3400,3600,3500,22 Nov 2023
32,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3600,3450,21 Nov 2023
33,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3700,3500,20 Nov 2023
34,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3600,3450,18 Nov 2023
35,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3500,3400,17 Nov 2023
36,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3400,3600,3500,15 Nov 2023
37,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3600,3450,14 Nov 2023
38,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3200,3400,3300,11 Nov 2023
39,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3300,3500,3400,10 Nov 2023
40,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3200,3400,3300,09 Nov 2023
41,Pune,Pune,Bajra(Pearl Millet/Cumbu),Other,FAQ,3400,3600,3500,08 Nov 2023
