Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Pune,Banana,Other,FAQ,800,1200,1000,28 Nov 2023
2,Pune,Pune,Banana,Other,FAQ,800,1600,1200,27 Nov 2023
3,Pune,Pune,Banana,Other,FAQ,800,1600,1200,26 Nov 2023
4,Pune,Pune,Banana,Other,FAQ,800,1200,1000,24 Nov 2023
5,Pune,Pune,Banana,Other,FAQ,800,1400,1100,23 Nov 2023
6,Pune,Pune,Banana,Other,FAQ,800,1600,1200,22 Nov 2023
7,Pune,Pune,Banana,Other,FAQ,800,1400,1100,21 Nov 2023
8,Pune,Pune,Banana,Other,FAQ,800,1200,1000,20 Nov 2023
9,Pune,Pune,Banana,Other,FAQ,800,1500,1100,17 Nov 2023
10,Pune,Pune,Banana,Other,FAQ,800,1600,1200,16 Nov 2023
11,Pune,Pune,Banana,Other,FAQ,800,1600,1200,13 Nov 2023
12,Pune,Pune,Banana,Other,FAQ,800,1200,1000,12 Nov 2023
13,Pune,Pune,Banana,Other,FAQ,800,1400,1100,10 Nov 2023
14,Pune,Pune,Banana,Other,FAQ,800,1400,1100,09 Nov 2023
15,Pune,Pune,Banana,Other,FAQ,800,1400,1100,08 Nov 2023
16,Pune,Pune,Banana,Other,FAQ,800,1200,1000,07 Nov 2023
17,Pune,Pune,Banana,Other,FAQ,800,1200,1100,06 Nov 2023
18,Pune,Pune,Banana,Other,FAQ,800,1400,1100,03 Nov 2023
19,Pune,Pune,Banana,Other,FAQ,800,1200,1000,02 Nov 2023
20,Pune,Pune,Banana,Other,FAQ,800,1400,1100,30 Oct 2023
21,Pune,Pune,Banana,Other,FAQ,800,1600,1200,29 Oct 2023
22,Pune,Pune,Banana,Other,FAQ,800,1600,1200,27 Oct 2023
23,Pune,Pune,Banana,Other,FAQ,800,1600,1200,26 Oct 2023
24,Pune,Pune,Banana,Other,FAQ,800,1200,1000,24 Oct 2023
25,Pune,Pune,Banana,Other,FAQ,800,1200,1000,23 Oct 2023
26,Pune,Pune,Banana,Other,FAQ,800,1200,1000,22 Oct 2023
27,Pune,Pune,Banana,Other,FAQ,800,1200,1000,20 Oct 2023
28,Pune,Pune,Banana,Other,FAQ,1000,1500,1200,19 Oct 2023
29,Pune,Pune,Banana,Other,FAQ,800,1200,1000,18 Oct 2023
30,Pune,Pune,Banana,Other,FAQ,800,1200,1000,17 Oct 2023
31,Pune,Pune,Banana,Other,FAQ,800,1400,1100,16 Oct 2023
32,Pune,Pune,Banana,Other,FAQ,800,1200,1000,15 Oct 2023
33,Pune,Pune,Banana,Other,FAQ,800,1200,1000,13 Oct 2023
34,Pune,Pune,Banana,Other,FAQ,800,1000,900,11 Oct 2023
35,Pune,Pune,Banana,Other,FAQ,800,1500,1200,10 Oct 2023
36,Pune,Pune,Banana,Other,FAQ,800,1200,1000,09 Oct 2023
37,Pune,Pune,Banana,Other,FAQ,800,1200,1000,08 Oct 2023
38,Pune,Pune,Banana,Other,FAQ,800,1200,1000,06 Oct 2023
39,Pune,Pune,Banana,Other,FAQ,800,1200,1000,05 Oct 2023
40,Pune,Pune,Banana,Other,FAQ,800,1500,1100,04 Oct 2023
41,Pune,Pune,Banana,Other,FAQ,800,1200,1000,03 Oct 2023
42,Pune,Pune,Banana,Other,FAQ,800,1200,1000,02 Oct 2023
43,Pune,Pune,Banana,Other,FAQ,800,1400,1100,01 Oct 2023
44,Pune,Pune,Banana,Other,FAQ,800,1400,1100,28 Sep 2023
45,Pune,Pune,Banana,Other,FAQ,800,1200,1000,27 Sep 2023
46,Pune,Pune,Banana,Other,FAQ,800,1600,1200,26 Sep 2023
47,Pune,Pune,Banana,Other,FAQ,800,1500,1100,24 Sep 2023
48,Pune,Pune,Banana,Other,FAQ,1000,1500,1200,22 Sep 2023
49,Pune,Pune,Banana,Other,FAQ,1000,1500,1200,21 Sep 2023
50,Pune,Pune,Banana,Other,FAQ,800,1800,1300,20 Sep 2023
51,Pune,Pune,Banana,Other,FAQ,800,1600,1200,19 Sep 2023
52,Pune,Pune,Banana,Other,FAQ,800,1400,1100,18 Sep 2023
53,Pune,Pune,Banana,Other,FAQ,800,1200,1000,17 Sep 2023
54,Pune,Pune,Banana,Other,FAQ,800,1200,1000,15 Sep 2023
55,Pune,Pune,Banana,Other,FAQ,800,1200,1000,14 Sep 2023
56,Pune,Pune,Banana,Other,FAQ,800,1600,1200,13 Sep 2023
57,Pune,Pune,Banana,Other,FAQ,800,1600,1200,12 Sep 2023
58,Pune,Pune,Banana,Other,FAQ,800,1400,1100,11 Sep 2023
59,Pune,Pune,Banana,Other,FAQ,800,1200,1000,10 Sep 2023
