Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Pune,Bitter gourd,Other,FAQ,2500,5000,3750,31 Dec 2023
2,Pune,Pune,Bitter gourd,Other,FAQ,3000,4500,3750,29 Dec 2023
3,Pune,Pune,Bitter gourd,Other,FAQ,2500,5000,3750,28 Dec 2023
4,Pune,Pune,Bitter gourd,Other,FAQ,2500,5000,3750,27 Dec 2023
5,Pune,Pune,Bitter gourd,Other,FAQ,2500,5000,3750,26 Dec 2023
6,Pune,Pune,Bitter gourd,Other,FAQ,2500,5000,3750,25 Dec 2023
7,Pune,Pune,Bitter gourd,Other,FAQ,2500,5000,3750,24 Dec 2023
8,Pune,Pune,Bitter gourd,Other,FAQ,2500,5000,3750,22 Dec 2023
9,Pune,Pune,Bitter gourd,Other,FAQ,2500,5000,3750,21 Dec 2023
10,Pune,Pune,Bitter gourd,Other,FAQ,2500,5000,3750,20 Dec 2023
11,Pune,Pune,Bitter gourd,Other,FAQ,2500,5000,3750,19 Dec 2023
12,Pune,Pune,Bitter gourd,Other,FAQ,2000,4500,3250,18 Dec 2023
13,Pune,Pune,Bitter gourd,Other,FAQ,2500,4500,3500,17 Dec 2023
14,Pune,Pune,Bitter gourd,Other,FAQ,2000,4000,3000,15 Dec 2023
15,Pune,Pune,Bitter gourd,Other,FAQ,2000,3000,2500,13 Dec 2023
16,Pune,Pune,Bitter gourd,Other,FAQ,2000,3500,2750,12 Dec 2023
17,Pune,Pune,Bitter gourd,Other,FAQ,2000,3500,2750,11 Dec 2023
18,Pune,Pune,Bitter gourd,Other,FAQ,1500,3000,2250,10 Dec 2023
19,Pune,Pune,Bitter gourd,Other,FAQ,1200,3000,2100,08 Dec 2023
20,Pune,Pune,Bitter gourd,Other,FAQ,1500,3000,2250,07 Dec 2023
21,Pune,Pune,Bitter gourd,Other,FAQ,1500,3000,2250,06 Dec 2023
22,Pune,Pune,Bitter gourd,Other,FAQ,1500,2500,2000,05 Dec 2023
23,Pune,Pune,Bitter gourd,Other,FAQ,1200,2500,1850,04 Dec 2023
24,Pune,Pune,Bitter gourd,Other,FAQ,1000,2200,1600,30 Nov 2023
25,Pune,Pune,Bitter gourd,Other,FAQ,1500,3000,2250,29 Nov 2023
26,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,28 Nov 2023
27,Pune,Pune,Bitter gourd,Other,FAQ,1200,3000,2100,27 Nov 2023
28,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,26 Nov 2023
29,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,24 Nov 2023
30,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,23 Nov 2023
31,Pune,Pune,Bitter gourd,Other,FAQ,1200,3000,2100,22 Nov 2023
32,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,21 Nov 2023
33,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,20 Nov 2023
34,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,19 Nov 2023
35,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,17 Nov 2023
36,Pune,Pune,Bitter gourd,Other,FAQ,1000,2500,1750,16 Nov 2023
37,Pune,Pune,Bitter gourd,Other,FAQ,1000,2000,1500,14 Nov 2023
38,Pune,Pune,Bitter gourd,Other,FAQ,800,3000,1900,13 Nov 2023
39,Pune,Pune,Bitter gourd,Other,FAQ,1000,2500,1750,12 Nov 2023
40,Pune,Pune,Bitter gourd,Other,FAQ,1000,2000,1500,10 Nov 2023
41,Pune,Pune,Bitter gourd,Other,FAQ,1000,2000,1500,09 Nov 2023
42,Pune,Pune,Bitter gourd,Other,FAQ,1000,2500,1750,08 Nov 2023
43,Pune,Pune,Bitter gourd,Other,FAQ,1000,2500,1750,07 Nov 2023
44,Pune,Pune,Bitter gourd,Other,FAQ,1000,2500,1750,06 Nov 2023
45,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,03 Nov 2023
46,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,02 Nov 2023
47,Pune,Pune,Bitter gourd,Other,FAQ,1500,2500,2000,31 Oct 2023
48,Pune,Pune,Bitter gourd,Other,FAQ,1500,3000,2250,30 Oct 2023
49,Pune,Pune,Bitter gourd,Other,FAQ,1000,2500,1750,29 Oct 2023
50,Pune,Pune,Bitter gourd,Other,FAQ,1000,2000,1500,27 Oct 2023
51,Pune,Pune,Bitter gourd,Other,FAQ,1000,2500,1750,26 Oct 2023
52,Pune,Pune,Bitter gourd,Other,FAQ,1000,2500,1750,24 Oct 2023
53,Pune,Pune,Bitter gourd,Other,FAQ,1000,2500,1750,23 Oct 2023
54,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,22 Oct 2023
55,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,20 Oct 2023
56,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,19 Oct 2023
57,Pune,Pune,Bitter gourd,Other,FAQ,1000,2000,1500,18 Oct 2023
58,Pune,Pune,Bitter gourd,Other,FAQ,1500,3000,2250,17 Oct 2023
59,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,16 Oct 2023
60,Pune,Pune,Bitter gourd,Other,FAQ,1500,2500,2000,15 Oct 2023
61,Pune,Pune,Bitter gourd,Other,FAQ,1500,3000,2250,13 Oct 2023
62,Pune,Pune,Bitter gourd,Other,FAQ,1500,2500,2000,12 Oct 2023
63,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,11 Oct 2023
64,Pune,Pune,Bitter gourd,Other,FAQ,1500,3000,2250,10 Oct 2023
65,Pune,Pune,Bitter gourd,Other,FAQ,1500,3000,2250,09 Oct 2023
66,Pune,Pune,Bitter gourd,Other,FAQ,1000,3000,2000,08 Oct 2023
67,Pune,Pune,Bitter gourd,Other,FAQ,1500,3000,2250,06 Oct 2023
68,Pune,Pune,Bitter gourd,Other,FAQ,1500,3000,2250,05 Oct 2023
69,Pune,Pune,Bitter gourd,Other,FAQ,1500,3000,2250,04 Oct 2023
70,Pune,Pune,Bitter gourd,Other,FAQ,1000,2500,1750,03 Oct 2023
71,Pune,Pune,Bitter gourd,Other,FAQ,1000,2500,1750,02 Oct 2023
72,Pune,Pune,Bitter gourd,Other,FAQ,1000,2500,1750,01 Oct 2023
73,Pune,Pune,Bitter gourd,Other,FAQ,800,2200,1500,28 Sep 2023
74,Pune,Pune,Bitter gourd,Other,FAQ,800,1200,1000,27 Sep 2023
75,Pune,Pune,Bitter gourd,Other,FAQ,800,2000,1400,26 Sep 2023
76,Pune,Pune,Bitter gourd,Other,FAQ,1000,2000,1500,25 Sep 2023
77,Pune,Pune,Bitter gourd,Other,FAQ,600,2000,1300,24 Sep 2023
78,Pune,Pune,Bitter gourd,Other,FAQ,800,1500,1150,22 Sep 2023
79,Pune,Pune,Bitter gourd,Other,FAQ,800,1500,1150,21 Sep 2023
80,Pune,Pune,Bitter gourd,Other,FAQ,800,2000,1600,20 Sep 2023
