Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Pune,Cabbage,Other,FAQ,600,1400,1000,31 Dec 2023
2,Pune,Pune,Cabbage,Other,FAQ,600,1400,1000,29 Dec 2023
3,Pune,Pune,Cabbage,Other,FAQ,700,1200,950,28 Dec 2023
4,Pune,Pune,Cabbage,Other,FAQ,600,1200,900,27 Dec 2023
5,Pune,Pune,Cabbage,Other,FAQ,600,1200,900,26 Dec 2023
6,Pune,Pune,Cabbage,Other,FAQ,700,1000,850,25 Dec 2023
7,Pune,Pune,Cabbage,Other,FAQ,600,1200,900,24 Dec 2023
8,Pune,Pune,Cabbage,Other,FAQ,700,1200,950,22 Dec 2023
9,Pune,Pune,Cabbage,Other,FAQ,600,1200,900,21 Dec 2023
10,Pune,Pune,Cabbage,Other,FAQ,600,1200,900,20 Dec 2023
11,Pune,Pune,Cabbage,Other,FAQ,600,1200,900,19 Dec 2023
12,Pune,Pune,Cabbage,Other,FAQ,600,1200,900,18 Dec 2023
13,Pune,Pune,Cabbage,Other,FAQ,600,1200,900,17 Dec 2023
14,Pune,Pune,Cabbage,Other,FAQ,500,1000,750,15 Dec 2023
15,Pune,Pune,Cabbage,Other,FAQ,500,1000,750,13 Dec 2023
16,Pune,Pune,Cabbage,Other,FAQ,500,1000,750,12 Dec 2023
17,Pune,Pune,Cabbage,Other,FAQ,500,1000,750,11 Dec 2023
18,Pune,Pune,Cabbage,Other,FAQ,500,1000,750,10 Dec 2023
19,Pune,Pune,Cabbage,Other,FAQ,400,1000,700,08 Dec 2023
20,Pune,Pune,Cabbage,Other,FAQ,400,1000,700,07 Dec 2023
21,Pune,Pune,Cabbage,Other,FAQ,300,1000,650,06 Dec 2023
22,Pune,Pune,Cabbage,Other,FAQ,400,800,600,05 Dec 2023
23,Pune,Pune,Cabbage,Other,FAQ,400,800,600,04 Dec 2023
24,Pune,Pune,Cabbage,Other,FAQ,500,1000,750,30 Nov 2023
25,Pune,Pune,Cabbage,Other,FAQ,500,1000,750,29 Nov 2023
26,Pune,Pune,Cabbage,Other,FAQ,400,1000,700,28 Nov 2023
27,Pune,Pune,Cabbage,Other,FAQ,400,800,600,27 Nov 2023
28,Pune,Pune,Cabbage,Other,FAQ,400,1000,700,26 Nov 2023
29,Pune,Pune,Cabbage,Other,FAQ,400,1000,700,24 Nov 2023
30,Pune,Pune,Cabbage,Other,FAQ,400,1000,700,23 Nov 2023
31,Pune,Pune,Cabbage,Other,FAQ,500,800,650,22 Nov 2023
32,Pune,Pune,Cabbage,Other,FAQ,600,1000,800,21 Nov 2023
33,Pune,Pune,Cabbage,Other,FAQ,400,1200,800,20 Nov 2023
34,Pune,Pune,Cabbage,Other,FAQ,400,1000,700,19 Nov 2023
35,Pune,Pune,Cabbage,Other,FAQ,500,1200,850,17 Nov 2023
36,Pune,Pune,Cabbage,Other,FAQ,500,1500,1000,16 Nov 2023
37,Pune,Pune,Cabbage,Other,FAQ,500,1000,750,14 Nov 2023
38,Pune,Pune,Cabbage,Other,FAQ,500,1000,750,13 Nov 2023
39,Pune,Pune,Cabbage,Other,FAQ,500,1000,750,12 Nov 2023
40,Pune,Pune,Cabbage,Other,FAQ,300,1000,650,10 Nov 2023
41,Pune,Pune,Cabbage,Other,FAQ,400,1000,700,09 Nov 2023
42,Pune,Pune,Cabbage,Other,FAQ,300,1000,650,08 Nov 2023
43,Pune,Pune,Cabbage,Other,FAQ,400,1000,700,07 Nov 2023
44,Pune,Pune,Cabbage,Other,FAQ,500,1000,750,06 Nov 2023
45,Pune,Pune,Cabbage,Other,FAQ,500,1200,850,03 Nov 2023
46,Pune,Pune,Cabbage,Other,FAQ,500,1400,950,02 Nov 2023
47,Pune,Pune,Cabbage,Other,FAQ,500,1500,1000,31 Oct 2023
48,Pune,Pune,Cabbage,Other,FAQ,500,1200,850,30 Oct 2023
49,Pune,Pune,Cabbage,Other,FAQ,500,1200,850,29 Oct 2023
50,Pune,Pune,Cabbage,Other,FAQ,500,1200,850,27 Oct 2023
51,Pune,Pune,Cabbage,Other,FAQ,500,1500,1000,26 Oct 2023
52,Pune,Pune,Cabbage,Other,FAQ,500,1200,850,24 Oct 2023
53,Pune,Pune,Cabbage,Other,FAQ,600,1000,800,23 Oct 2023
