Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Pune,Carrot,Other,FAQ,1000,2200,1600,31 Dec 2023
2,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,29 Dec 2023
3,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,28 Dec 2023
4,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,27 Dec 2023
5,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,26 Dec 2023
6,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,25 Dec 2023
7,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,24 Dec 2023
8,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,22 Dec 2023
9,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,21 Dec 2023
10,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,20 Dec 2023
11,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,19 Dec 2023
12,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,18 Dec 2023
13,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,17 Dec 2023
14,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,15 Dec 2023
15,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,13 Dec 2023
16,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,12 Dec 2023
17,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,11 Dec 2023
18,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,10 Dec 2023
19,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,08 Dec 2023
20,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,07 Dec 2023
21,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,06 Dec 2023
22,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,05 Dec 2023
23,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,04 Dec 2023
24,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,30 Nov 2023
25,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,29 Nov 2023
26,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,28 Nov 2023
27,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,27 Nov 2023
28,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,26 Nov 2023
29,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,24 Nov 2023
30,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,23 Nov 2023
31,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,22 Nov 2023
32,Pune,Pune,Carrot,Other,FAQ,1500,3500,2500,21 Nov 2023
33,Pune,Pune,Carrot,Other,FAQ,1000,3500,2250,20 Nov 2023
34,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,19 Nov 2023
35,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,17 Nov 2023
36,Pune,Pune,Carrot,Other,FAQ,1000,3500,2250,16 Nov 2023
37,Pune,Pune,Carrot,Other,FAQ,1000,3500,2250,14 Nov 2023
38,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,13 Nov 2023
39,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,12 Nov 2023
40,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,10 Nov 2023
41,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,09 Nov 2023
42,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,08 Nov 2023
43,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,07 Nov 2023
44,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,06 Nov 2023
45,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,03 Nov 2023
46,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,02 Nov 2023
47,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,31 Oct 2023
48,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,30 Oct 2023
49,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,29 Oct 2023
50,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,27 Oct 2023
51,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,26 Oct 2023
52,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,24 Oct 2023
53,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,23 Oct 2023
